#NAME SDSSID RA DEC R_PET R_PET_ERR I_MOD I_MOD_ERR G_MOD G_MOD_ERR N_FIRST FIRST_TOTINTFLUX N_NVSS NVSS_TOTINTFLUX Z QOP ZSOURCE OIII_SN EW_OIII VISCLASS BESTCLASS HI_COMP ZSOURCE_TARGET DISAGREE_GAMA NAME RA_deg DEC_deg W1 W1err W2 W2err W3 W3err W4 W4err
J000622.60-000424.4 587731186204606566 1.59420 -0.07345 19.469 0.026 19.457 0.021 19.802 0.017 1 3915.92 1 3897.600 1.03773 5 SDSS .. .. AeB AeB 0 -1 -1 J000622.60-000424.4 1.594200 -0.073450 15.299 0.041 14.245 0.049 11.165 0.165 8.398 0.000
J000657.63-010358.7 588015507659489417 1.74016 -1.06632 19.741 0.038 19.704 0.029 20.112 0.026 2 38.97 1 45.100 1.44391 4 SDSS .. .. AeB AeB 0 -1 -1 J000657.63-010358.7 1.740160 -1.066320 16.853 0.113 15.513 0.130 11.753 0.000 8.908 0.000
J000715.63-002133.4 588015508733296774 1.81516 -0.35930 17.172 0.028 16.637 0.007 18.514 0.016 1 4.11 0 -99.000 0.20065 5 SDSS 9.51 3.29 NA LERG 0 -1 -1 J000715.63-002133.4 1.815160 -0.359300 13.848 0.026 13.499 0.034 11.611 0.000 6.612 0.264
J000717.45+004643.2 587731187278479465 1.82272 0.77867 17.025 0.013 16.442 0.006 18.202 0.032 1 3.42 1 5.200 0.19720 5 SDSS 2.97 0.77 NA LERG 0 -1 -1 J000717.45+004643.2 1.822720 0.778670 13.761 0.027 13.423 0.033 12.426 0.445 8.564 0.000
J000718.44+004817.3 587731187278479607 1.82687 0.80483 18.823 0.034 18.066 0.016 20.434 0.043 1 2.57 0 -99.000 0.32599 5 SDSS 7.66 2.72 NA LERG 0 -1 -1 J000718.44+004817.3 1.826870 0.804830 14.800 0.034 14.505 0.056 12.216 0.000 8.653 0.000
J000724.02-004516.6 588015508196425874 1.85008 -0.75462 17.195 0.033 16.733 0.007 18.477 0.014 1 3.20 1 10.000 0.18654 5 SDSS -0.18 -0.03 NA LERG 0 -1 -1 J000724.02-004516.6 1.850080 -0.754620 14.017 0.033 13.669 0.041 11.905 0.000 7.904 0.000
J000730.59-004815.7 588015508196425896 1.87747 -0.80436 14.806 0.015 14.275 0.002 15.636 0.003 1 142.55 1 147.900 0.07337 5 SDSS 4.51 0.60 NA LERG 0 -1 -1 J000730.59-004815.7 1.877470 -0.804360 12.194 0.023 12.192 0.023 11.575 0.288 8.163 0.000
J000733.13+003954.8 587731187278479526 1.88804 0.66523 17.535 0.023 17.200 0.009 18.160 0.009 1 1.00 0 -99.000 0.11367 3 SDSS 6.80 7.03 NA SF 0 -1 -1 J000733.13+003954.8 1.888040 0.665230 14.490 0.031 13.755 0.039 10.191 0.071 8.120 0.323
J000738.97+004856.5 587731187278479571 1.91238 0.81570 17.878 0.032 17.382 0.012 18.260 0.011 1 0.75 0 -99.000 0.09259 4 SDSS 34.30 15.90 NA SF 0 -1 -1 J000738.97+004856.5 1.912380 0.815700 14.235 0.030 13.772 0.037 9.431 0.038 7.118 0.087
J000739.32-003152.1 587731185667866855 1.91385 -0.53114 18.765 0.033 18.292 0.014 20.535 0.045 1 4.49 1 6.100 0.38828 5 SDSS 1.47 0.31 NA LERG 0 -1 -1 J000739.32-003152.1 1.913850 -0.531140 14.636 0.033 14.424 0.060 10.688 0.000 7.431 0.347
J000741.22-004145.3 588015508196491323 1.92176 -0.69593 16.182 0.015 15.801 0.005 17.004 0.006 1 1.41 0 -99.000 0.07361 4 SDSS 5.73 1.34 NA SF 0 -1 -1 J000741.22-004145.3 1.921760 -0.695930 13.364 0.037 13.086 0.042 9.280 0.050 7.348 0.425
J000813.22-005753.3 587731185131061309 2.05510 -0.96481 16.861 0.010 16.376 0.005 17.418 0.006 1 2.74 0 -99.000 0.13893 5 SDSS .. .. AeB AeB 0 -1 -1 J000813.22-005753.3 2.055100 -0.964810 13.068 0.024 12.374 0.025 9.458 0.042 7.245 0.192
J000827.80-000017.7 587731186204868616 2.11586 -0.00493 16.621 0.033 16.148 0.005 17.167 0.006 1 0.58 0 -99.000 0.15841 4 SDSS 16.30 3.24 NA SF 0 -1 -1 J000827.80-000017.7 2.115860 -0.004930 13.378 0.025 12.909 0.030 9.137 0.043 7.060 0.171
J000838.19-004407.1 588015508196556925 2.15915 -0.73533 14.034 0.009 13.412 0.002 14.672 0.003 1 5.91 1 5.800 0.03930 3 SDSS 0.63 0.43 Aae LERG 0 -1 -1 J000838.19-004407.1 2.159150 -0.735330 10.967 0.022 10.838 0.020 7.236 0.019 5.475 0.091
J000905.14+001349.9 587731186741805152 2.27145 0.23055 17.193 0.013 16.574 0.006 18.390 0.011 1 1.65 1 5.700 0.21011 5 SDSS 0.46 0.09 NA LERG 0 -1 -1 J000905.14+001349.9 2.271450 0.230550 13.754 0.027 13.465 0.033 11.993 0.000 8.895 0.000
J000911.57-003654.7 587731185668063352 2.29824 -0.61520 15.800 0.010 15.069 0.003 16.602 0.005 1 39.67 1 40.000 0.07327 5 SDSS 150.00 133.00 NA HERG 0 -1 -1 J000911.57-003654.7 2.298240 -0.615200 11.884 0.022 10.794 0.022 7.571 0.025 4.172 0.053
J000915.79-002658.9 587731185668063381 2.31582 -0.44972 18.186 0.037 17.610 0.009 19.544 0.024 1 0.69 0 -99.000 0.25615 5 SDSS 0.70 0.35 NA LERG 0 -1 -1 J000915.79-002658.9 2.315820 -0.449720 14.661 0.032 12.585 0.028 9.694 0.088 5.223 0.258
J000935.62+001604.1 587731186741805280 2.39843 0.26781 19.455 0.053 18.699 0.020 20.922 0.058 1 1.15 0 -99.000 0.43335 5 SDSS 1.05 0.41 NA LERG 0 -1 -1 J000935.62+001604.1 2.398430 0.267810 15.056 0.037 14.860 0.074 12.458 0.000 8.637 0.000
J001001.29-000252.4 587731186204999807 2.50541 -0.04789 17.448 0.017 16.863 0.007 18.676 0.014 1 0.40 0 -99.000 0.19761 5 SDSS 1.63 0.74 NA LERG 0 -1 -1 J001001.29-000252.4 2.505410 -0.047890 14.146 0.028 13.848 0.043 12.385 0.000 8.444 0.000
J001002.96-010107.2 587731185131258038 2.51235 -1.01868 18.902 0.016 18.584 0.012 19.072 0.012 1 1.72 0 -99.000 0.55485 3 SDSS .. .. AeB AeB 0 -1 -1 J001002.96-010107.2 2.512350 -1.018680 14.305 0.029 13.254 0.031 10.578 0.209 5.606 0.000
J001006.61-002609.6 587731185668128846 2.52758 -0.43602 15.110 0.020 14.925 0.003 15.552 0.003 1 3.12 1 5.900 0.03214 5 SDSS 54.20 9.78 NA SF 0 -1 -1 J001006.61-002609.6 2.527580 -0.436020 12.496 0.024 12.220 0.023 8.043 0.023 5.716 0.056
J001011.15-001430.7 588015508733624406 2.54647 -0.24189 16.887 0.043 16.179 0.006 17.930 0.011 1 2.92 1 3.300 0.11318 4 SDSS 11.80 3.88 NA SF 0 -1 -1 J001011.15-001430.7 2.546470 -0.241890 12.829 0.023 12.369 0.025 8.108 0.022 5.344 0.044
J001038.88-005143.8 587731185131323528 2.66200 -0.86218 20.012 0.038 19.765 0.026 20.236 0.026 2 113.87 1 119.900 1.51659 4 SDSS .. .. AeB AeB 0 -1 -1 J001038.88-005143.8 2.662000 -0.862180 16.210 0.067 15.216 0.097 12.354 0.494 8.593 0.000
J001043.76-000229.8 587731186205065485 2.68237 -0.04163 19.987 0.126 19.326 0.025 21.492 0.076 1 1.07 0 -99.000 0.50295 4 SDSS 0.27 0.32 NA LERG 0 -1 -1 J001043.76-000229.8 2.682370 -0.041630 15.235 0.041 14.880 0.076 12.484 0.000 8.648 0.000
J001045.54-000740.0 587731186205065383 2.68975 -0.12778 16.454 0.010 16.199 0.004 17.021 0.005 1 0.74 0 -99.000 0.08670 4 SDSS 15.20 2.28 NA SF 0 -1 -1 J001045.54-000740.0 2.689750 -0.127780 13.533 0.025 13.275 0.031 9.178 0.036 7.386 0.135
J001053.44+004900.3 587731187278872852 2.72269 0.81675 19.514 0.077 18.608 0.024 21.156 0.089 1 3.35 1 5.900 0.45649 4 SDSS 0.31 0.11 NA LERG 0 -1 -1 J001053.44+004900.3 2.722690 0.816750 14.990 0.037 14.899 0.079 11.906 0.000 8.179 0.000
J001109.31+002240.9 587731186742001875 2.78882 0.37804 19.259 0.108 18.550 0.021 20.990 0.075 1 1.21 0 -99.000 0.41966 4 SDSS -0.13 -0.03 NA LERG 0 -1 -1 J001109.31+002240.9 2.788820 0.378040 14.883 0.034 14.724 0.068 12.456 0.000 8.976 0.000
J001127.07+000932.0 588015509270626538 2.86283 0.15892 17.004 0.008 16.578 0.009 17.426 0.014 1 0.78 0 -99.000 0.10823 4 SDSS 23.90 8.72 NA SF 0 -1 -1 J001127.07+000932.0 2.862830 0.158920 13.712 0.027 13.273 0.031 8.911 0.034 6.716 0.098
J001138.72-005604.7 587731185131454612 2.91137 -0.93464 17.962 0.020 17.446 0.009 19.000 0.017 1 2.47 1 2.542 0.16058 5 SDSS -0.06 -0.01 NA LERG 0 -1 -1 J001138.72-005604.7 2.911370 -0.934640 14.721 0.033 14.434 0.057 12.115 0.000 8.637 0.000
J001138.78-003813.6 588015508196884589 2.91161 -0.63713 19.105 0.107 18.532 0.017 19.984 0.032 1 1.02 0 -99.000 0.19488 4 SDSS 2.06 1.21 NA SF 0 -1 -1 J001138.78-003813.6 2.911610 -0.637130 14.385 0.030 13.736 0.041 9.610 0.048 7.153 0.153
J001144.07+003125.3 588015509807497270 2.93365 0.52372 16.150 0.014 15.937 0.005 16.386 0.004 1 1.11 1 2.500 0.07241 4 SDSS 63.00 11.90 NA SF 0 -1 -1 J001144.07+003125.3 2.933650 0.523720 13.472 0.027 13.149 0.033 9.054 0.039 6.624 0.105
J001145.22-005430.7 587731185131454631 2.93842 -0.90853 16.208 0.007 15.943 0.007 16.931 0.007 1 2.08 0 -99.000 0.04787 3 SDSS 10.20 3.27 NA SF 0 -1 -1 J001145.22-005430.7 2.938420 -0.908530 13.636 0.025 13.104 0.029 9.488 0.039 6.528 0.068
